Date,paid_search_impressions_adst.5,kwai_impressions_lag2_adst.3,indicacao_clicks_adst.3,infleux_clicks_adst.3,programmaticclicks_adst.4,influencer_clicks_adst.3,FB: Level Achieved - Tier 1 Impressions_adst.2, FB: Level Achieved - Tier 2 Impressions_lag3_adst.5,paid_social_others_adst.3, GA App: Will And Cid Pequena Baixo Risco Clicks_lag3_adst.5,digital_tactic_others_adst.2,total_approved_accounts_revenue
8/18/2023,0.310130652,0.540895698,0.280600931,0.353177767,0.019728097,0.200976073,0.560445932,0.219829937,0.431834669,0.724150155,0.53249864,3722530
8/19/2023,0.26489611,0.505042438,0.202451102,0.221952246,0.021028416,0.274085862,0.603032054,0.218377483,0.435503639,0.753313305,0.489618327,2943410
8/20/2023,0.271227639,0.47004563,0.163278795,0.148154753,0.021521115,0.147065366,0.571406281,0.212213987,0.447246475,0.766195489,0.585663031,2640290
8/21/2023,0.265457035,0.409522986,0.22439456,0.141440003,0.019272737,0.109843213,0.543444545,0.212951232,0.431524564,0.788681219,0.680076535,3510210
8/22/2023,0.255775058,0.52800493,0.313462882,0.200984842,0.016699499,0.11392551,0.521996573,0.22097707,0.420954491,0.852299834,0.673837369,3877380
8/23/2023,0.244389123,0.581336268,0.260044984,0.112532843,0.027605765,0.124653162,0.449411565,0.209542805,0.373915572,0.815801604,0.736575146,3219310
8/24/2023,0.232843464,0.5393143,0.224604099,0.132877658,0.032504296,0.363235563,0.365982481,0.2072946,0.300144307,0.885256978,0.717022538,3474730
8/25/2023,0.219392909,0.543737158,0.211600875,0.183442497,0.031176061,0.843216729,0.377807067,0.200873393,0.307092365,0.885857449,0.721861726,4003360
8/26/2023,0.171132396,0.57303306,0.147793691,0.199028125,0.022604315,0.970415142,0.425514786,0.195301751,0.351518415,0.801380661,0.722722206,3448630
8/27/2023,0.153547086,0.512599928,0.108919893,0.229168539,0.01586792,0.745143669,0.401108819,0.186849993,0.400812646,0.770433922,0.76610606,3032970
8/28/2023,0.188681089,0.552856599,0.21583202,0.241999593,0.011493046,1,0.376279726,0.18498886,0.396280065,0.790833626,0.736724276,3941750
8/29/2023,0.176607036,0.573441437,0.248274474,0.389394709,0.006660636,0.84772277,0.385399746,0.193221189,0.362895411,0.805447911,0.688226632,4403680
8/30/2023,0.184918545,0.691020241,0.227290126,0.4060503,0.004213443,0.58921741,0.391608458,0.193433567,0.393642215,0.759244164,0.656840705,4493600
8/31/2023,0.218211897,0.670118544,0.210773356,0.236218667,0.003113997,0.522052763,0.422687235,0.194154862,0.359089664,0.713758128,0.64245796,3467310
9/1/2023,0.267079845,0.694820278,0.210955402,0.113192816,0.003796507,0.38057483,0.445340474,0.202614538,0.376809123,0.708128506,0.595671823,2588380
9/2/2023,0.281067079,0.710057134,0.187142367,0.07625905,0.004041454,0.369292332,0.48620279,0.206175982,0.4016876,0.738717342,0.561622162,2531920
9/3/2023,0.271383669,0.603732939,0.160978102,0.117148811,0.003800275,0.374747549,0.421408531,0.220961299,0.36266282,0.661912753,0.618207369,2747410
9/4/2023,0.343885607,0.507573141,0.208293122,0.391640865,0.003896103,0.503458631,0.402999143,0.233128625,0.374589568,0.653993278,0.67198466,3987700
9/5/2023,0.298324749,0.529417768,0.226412881,0.299637038,0.003110996,0.404831477,0.393658227,0.25862118,0.345224962,0.727203135,0.627021105,3377390
9/6/2023,0.31374415,0.547678625,0.255268609,0.167948712,0.003088077,0.261428764,0.447131357,0.258669142,0.400101998,0.724250763,0.56982447,2814330
9/7/2023,0.291624,0.609903953,0.248909258,0.109879061,0.003388986,0.189236061,0.431270012,0.271511216,0.364900937,0.711151011,0.6003086,2893090
9/8/2023,0.299128916,0.588139046,0.257539045,0.082097135,0.003683188,0.306144723,0.443779675,0.273806749,0.380629983,0.68476606,0.545264814,2858250
9/9/2023,0.27235927,0.534150094,0.222772214,0.060011431,0.003210874,0.193147885,0.485881265,0.307624933,0.413500802,0.655635159,0.512193905,2717380
9/10/2023,0.256645956,0.506610452,0.180729386,0.088058325,0.003500375,0.170519791,0.392417174,0.299924871,0.41666482,0.640405884,0.511108681,2878400
9/11/2023,0.325188959,0.441760311,0.228549633,0.082565202,0.002188244,0.170140338,0.412656986,0.333298673,0.392114096,0.610340703,0.657167464,2923700
9/12/2023,0.304709469,0.441861304,0.245872578,0.256300476,0.00182869,0.224613295,0.40865716,0.358251178,0.389557626,0.637301648,0.631250679,4318830
9/13/2023,0.271310683,0.459995491,0.215926588,0.395904575,0.002390278,0.185926391,0.42438868,0.466645697,0.408852499,0.59591039,0.612701201,3837560
9/14/2023,0.264932167,0.497778938,0.213054595,0.449412703,0.003347575,0.272885945,0.43758138,0.570584163,0.280997928,0.560803132,0.534860326,3797130
