const,paid_search_impressions,paid_social_impressions_adst.2,digital_app_clicks_adst.4,kwai_clicks_adst.3,indicacao_clicks_adst.2,infleux_clicks_adst.2,influencer_clicks,total_approved_accounts_revenue
1.0,0.5360522022838499,0.7584873257068631,0.6209130837796599,0.18781193445752495,0.09691071617673136,0.11868155409008296,0.024681087077093725,2851980
1.0,0.5622620989668298,0.7233129106443951,0.5487774364567527,0.2255758034642764,0.284422518533753,0.2556746246774283,0.09511924570160844,4117320
1.0,0.4989668297988037,0.7776523051838422,0.483321669841954,0.2107601772519491,0.25651249375562796,0.38153582972572875,0.08569051580698835,4627290
1.0,0.5283306144643828,0.8128188316165829,0.5613035477924317,0.14550519113341945,0.20003003280815898,0.2681548777829273,0.10870770937326678,4019320
1.0,0.46003262642740617,0.7447463276078766,0.5780110682060324,0.19069591116368503,0.2778161325787637,0.23040852878244553,0.14780920687742655,4272770
1.0,0.5007069059271343,0.6985672942192355,0.6508486917440292,0.2359084680607089,0.23546151498957477,0.3389700368590741,0.41486411536328344,4788710
1.0,0.3535617183251767,0.7010503692555355,0.6149215873249337,0.23007605616550056,0.14657711080976876,0.41105791669156105,0.5268996117581808,4707070
1.0,0.49081022294725396,0.7830088983170611,0.7146118224595811,0.2182519718082135,0.2048112152429948,0.3760768514937709,0.3596783139212424,4560170
1.0,0.6767808591625883,0.7633261428464654,0.6051201011560519,0.3174146754096868,0.22580654486492793,0.9894899413097017,0.06544647809206879,7031980
1.0,0.3634584013050571,0.8710627336038174,0.4809101511108368,0.3626755745479481,0.28090606678115854,0.7385031822621657,0.21630615640599005,5335600
1.0,0.3223491027732463,0.8856642571570802,0.4974617095422156,0.31104966819662117,0.6735299236670601,0.29251968405049106,0.23987798114254022,4382390
1.0,0.3009244154431756,0.870888071214302,0.4613630406148618,0.30752975139686456,0.5576655003247208,0.1524770290914631,0.2640044370493622,4334320
1.0,0.27090810222947254,0.8150447549097988,0.5189532038000212,0.31455754055608276,0.3071390572858488,0.25060192648179,0.20244037714919583,4560830
1.0,0.3787928221859706,0.8312614275544663,0.4686972383182141,0.300061388678577,0.17015242441436637,0.5396987097108398,0.14697726012201884,4890110
1.0,0.3278955954323001,0.9066025480827152,0.5280370367263949,0.3426372163794327,0.11557920035376765,0.25916315466461987,0.17415418746533556,3388060
1.0,0.3119086460032626,0.8412228962475204,0.44805384841626583,0.6488773082436443,0.2617140671149882,0.29201158974759406,0.5476982806433721,4639400
1.0,0.24013050570962483,0.7689146286434254,0.448648296163197,0.8487270630035028,0.28452752866046505,0.3352345076738562,0.21242373821408767,4969720
1.0,0.34279499728113105,0.7107000174713617,0.44115792141722443,0.6255560379160515,0.2617240922008541,0.4441689163073518,0.11342207432057681,4489250
1.0,0.2856987493202828,0.6922083748874541,0.4527602945930974,0.46424559693012357,0.1971318473616904,0.7096563641587662,0.06794231835829175,5006920
1.0,0.24578575312669929,0.5947937655236579,0.3862051207995013,0.3103022942503104,0.19266510251209765,0.26400035109668846,0.13449805879090404,3069350
1.0,0.24448069603045133,0.6731511181298026,0.3852761282004564,0.22127292563408005,0.11904905186883444,0.12907070127409379,0.10537992235163617,2776800
1.0,0.20315388798259926,0.5998482016142805,0.44508702345756046,0.37913125981227813,0.09647200736664044,0.0741154253143401,0.10870770937326678,2860440
1.0,0.23762914627514956,0.6943478240579055,0.4455436892569876,0.7554469842778018,0.3356972230208459,0.13771532325198374,0.15363283416528012,3928490
1.0,0.22762370853724853,0.7282953650560768,0.3749914940511907,0.6221631648500953,0.26165836592562175,0.3976094229300009,0.19661674986134225,5851320
1.0,0.21761827079934748,0.7750827876022646,0.3583345236590718,0.41195773504458666,0.19853184877593164,0.43851628959970285,0.19633943427620637,6083570
1.0,0.19564980967917348,0.5916891665924657,0.32137413550774696,0.3240864754376894,0.14712653963304037,0.3051865216822031,0.3538546866333888,4328260
1.0,0.1135399673735726,0.7492185991439553,0.2823858879439367,0.24230397543355234,0.2433206441557941,0.6254689075706402,0.21991125901275654,5252540
1.0,0.1551930396954867,0.7646397343488561,0.44534735811663384,0.3170805747977864,0.16575891821413646,0.40720866789474525,0.1905158069883528,4626340
1.0,0.12202283849918434,0.8485568956763218,0.542520838487574,0.46584361134084606,0.11277101039219423,0.12449650483600073,0.10565723793677205,3416990
1.0,0.27166938553561715,0.7705211165833039,0.6823336767713959,0.7763628204215959,0.17658103614530116,0.19696403748429006,0.2240709927897948,4925290
1.0,0.4266449157150625,0.7298042872953779,0.7407269659306285,0.5376230151857189,0.21295889621151917,0.15044420677660691,0.3591236827509706,4394760
1.0,0.42979880369766177,0.763405319985071,0.6582611739213038,0.4212612014857524,0.3092355324924024,0.08998673106099116,0.32834165280088745,4497600
1.0,0.43153887982599237,0.7757906058135707,0.5866179032784665,0.3753315494285795,0.24449016061841902,0.18279837482690345,0.21103716028840824,5114750
1.0,0.35704187058183795,0.7653002819944824,0.6134900103958248,0.24774879025108834,0.22208387391838916,0.2713473885623406,0.1173044925124792,4910810
1.0,0.276889613920609,0.790786985745529,0.695556360922076,0.2641910931431065,0.16547924519965557,0.42061804776308076,0.16528008874098726,4471260
1.0,0.2822185970636215,0.8513266771076707,0.6424264088405525,0.31833036068238596,0.12771617120173684,0.5329690862903379,0.1336661120354964,5706060
1.0,0.44567699836867863,0.955050461758694,0.6386538126201415,0.494475308450986,0.26734821718796575,0.4340277280358795,0.1938435940099834,5299330
